source,target,weight
0x8f3ab4c0d4d41694fea84e30b1309b0628abdb99,0xf0a3b9f19afc040c39a50001760ca1659fb7871b,116
0x88172e5d79fe75c7aed1453e89ff5d741cfa4ca7,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,113
0xd97bfa595fec38455af2739a730045b91c249142,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,1
0xd97bfa595fec38455af2739a730045b91c249142,0x16b70f44719b227278a2dc1122e8106cc929ecd1,1
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x88172e5d79fe75c7aed1453e89ff5d741cfa4ca7,116
0x5aca9d6428d4afd05dc06b6b6c2fa6813a705483,0x74de5d4fcbf63e00296fd95d33236b9794016631,39
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x16b70f44719b227278a2dc1122e8106cc929ecd1,578
0x099e9355fa7c8d672479352f95ebb9bbf79b5eea,0xf0064c93fa9e3c18bdbdcb00b3c4dc5b8329c95e,1
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x8f3ab4c0d4d41694fea84e30b1309b0628abdb99,170
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x8f3ab4c0d4d41694fea84e30b1309b0628abdb99,170
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x7942cbfbcee2d99226ca8328a18de44ffb5af678,25
0x8f3ab4c0d4d41694fea84e30b1309b0628abdb99,0xf0a3b9f19afc040c39a50001760ca1659fb7871b,116
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x8ddc09da31cf7fc46046314f8c63fb90baf3ad69,1
0x2113ff6689b29719c010d63cc438a0380369cef7,0x16b70f44719b227278a2dc1122e8106cc929ecd1,1
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0xcc88036fa05c86129bf66260c2a905ab2c7b663c,2
0xcc88036fa05c86129bf66260c2a905ab2c7b663c,0x5774a8565bc2f27cb1166067c31c75ceeccddea6,14
0x5aca9d6428d4afd05dc06b6b6c2fa6813a705483,0x74de5d4fcbf63e00296fd95d33236b9794016631,39
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x16b70f44719b227278a2dc1122e8106cc929ecd1,578
0x8ddc09da31cf7fc46046314f8c63fb90baf3ad69,0xc4957257eb4bab46627b1cd039f2c22e41ce98c3,1
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x8f3ab4c0d4d41694fea84e30b1309b0628abdb99,170
0x88172e5d79fe75c7aed1453e89ff5d741cfa4ca7,0x0000000000208d4805eb97db796e74b48547445d,1
0x88172e5d79fe75c7aed1453e89ff5d741cfa4ca7,0x1111111254fb6c44bac0bed2854e76f90643097d,11
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x1111111254fb6c44bac0bed2854e76f90643097d,120
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x1111111254fb6c44bac0bed2854e76f90643097d,127
0x1111111254fb6c44bac0bed2854e76f90643097d,0xcc88036fa05c86129bf66260c2a905ab2c7b663c,7
0x0000000000208d4805eb97db796e74b48547445d,0x88172e5d79fe75c7aed1453e89ff5d741cfa4ca7,1
0xcc88036fa05c86129bf66260c2a905ab2c7b663c,0x5774a8565bc2f27cb1166067c31c75ceeccddea6,14
0x5aca9d6428d4afd05dc06b6b6c2fa6813a705483,0x74de5d4fcbf63e00296fd95d33236b9794016631,39
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x16b70f44719b227278a2dc1122e8106cc929ecd1,578
0x77696bb39917c91a0c3908d577d5e322095425ca,0x793b2843d69bd44eafca14b254a980418aed06fe,2
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x9c9e654fc0c1a8f51bbd780e44128d481c86686c,2
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x7942cbfbcee2d99226ca8328a18de44ffb5af678,25
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x8f3ab4c0d4d41694fea84e30b1309b0628abdb99,170
0xf0064c93fa9e3c18bdbdcb00b3c4dc5b8329c95e,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0x8f3ab4c0d4d41694fea84e30b1309b0628abdb99,0xf0a3b9f19afc040c39a50001760ca1659fb7871b,116
0xeb91d4c5505a5bf89f1a09207f7a3968c202e1f1,0x16b70f44719b227278a2dc1122e8106cc929ecd1,12
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x01e28ecec1d16fc24ffe8e004b95bd2842bba4c0,7
0x77696bb39917c91a0c3908d577d5e322095425ca,0xc581d5d85b768d01ca2f90ee4b931589ae276235,1
